"date","game_date","location","opponent","wl","team_score","opponent_score","conference_game","Winning_Margin","game_code","net","net_rk","Pace","Offensive_Efficency","Defensive_Efficency","Points_Scored","Points_Allowed","Offensive_3PAr","Offensive_3Ppct","Offensive_TOpct","Offensive_OREBpct","Offensive_FTr","Defensive_3PAr","Defensive_3Ppct","Defensive_TOpct","Defensive_OREBpct","Defensive_FTr","Team"
"2023-11-29",20231129,"Home","Bradley","W",79,72,"MVC",7,"Bradley 20231129",88,"NET Top 100",64,123,112.1,79,72,39.2,25,12.5,28.6,51,34.4,33.3,14,34.2,27.9,"Murray State"
"2023-12-03",20231203,"Away","Illinois State","L",72,76,"MVC",-4,"Illinois State 20231203",176,"Other",63,114,120.3,72,76,47.4,37,14.2,28.1,26.3,42.1,37.5,15.8,34.5,19.3,"Murray State"
"2023-12-09",20231209,"Away","Austin Peay",NA,NA,NA,"OOC",NA,"Austin Peay 20231209",269,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray State"
"2023-12-13",20231213,"Away","Mississippi State",NA,NA,NA,"OOC",NA,"Mississippi State 20231213",46,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray State"
"2023-12-16",20231216,"Home","Southeastern Louisiana",NA,NA,NA,"OOC",NA,"Southeastern Louisiana 20231216",279,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Murray State"
"2023-11-07",20231107,"Home","Northern Iowa","W",83,77,"OOC",6,"Northern Iowa 20231107",132,"Other",64,116,107.6,83,77,38.6,50,18.2,30.3,38.6,33.8,34.8,18.2,35,17.6,"North Texas"
"2023-11-11",20231111,"Home","Nebraska-Omaha","W",75,64,"OOC",11,"Nebraska-Omaha 20231111",301,"Other",58,129.9,110.8,75,64,41.7,40,15.6,34.8,33.3,26.5,30.8,10.4,25.8,51,"North Texas"
"2023-11-16",20231116,"Away","St. John's","L",52,53,"OOC",-1,"St. John's 20231116",56,"NET Top 100",64,81.8,83.3,52,53,34.5,31.6,23.6,36.1,23.6,43.4,26.1,23.6,33.3,35.9,"North Texas"
"2023-11-17",20231117,"Away","LSU","L",62,66,"OOC",-4,"LSU 20231117",127,"Other",63,98.2,104.5,62,66,53.3,37.5,19,35,20,27.1,30.8,20.6,25.9,37.5,"North Texas"
"2023-11-19",20231119,"Away","Towson","W",65,39,"OOC",26,"Towson 20231119",200,"Other",60,108,64.8,65,39,38.5,30,21.6,34.6,19.2,44.2,21.1,34.9,32.4,32.6,"North Texas"
"2023-11-26",20231126,"Home","Angelo St.","W",79,50,"OOC",29,"Angelo St. 20231126",NA,"Other",65,120.7,76.4,79,50,45.1,39.1,15.3,34.4,66.7,40.7,27.3,16.8,13.9,18.5,"North Texas"
"2023-12-02",20231202,"Home","Mississippi Valley State","W",79,48,"OOC",31,"Mississippi Valley State 20231202",362,"Other",58,135.2,82.2,79,48,42.6,43.5,13.7,39.3,25.9,15.4,37.5,24,35.1,25,"North Texas"
"2023-12-05",20231205,"Away","Boise State","L",64,69,"OOC",-5,"Boise State 20231205",90,"NET Top 100",71,89.9,96.9,64,69,29.8,23.5,26.7,42.9,33.3,48.9,40.9,28.1,20.8,57.8,"North Texas"
"2023-12-10",20231210,"Away","Fordham",NA,NA,NA,"OOC",NA,"Fordham 20231210",199,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Texas"
"2023-12-17",20231217,"Away","Mississippi State",NA,NA,NA,"OOC",NA,"Mississippi State 20231217",46,"NET Top 50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Texas"
"2023-12-23",20231223,"Home","UT Arlington",NA,NA,NA,"OOC",NA,"UT Arlington 20231223",165,"Other",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"North Texas"
